model,f1_macro,auc_macro,f1_NORM,f1_MI,f1_STTC,f1_CD,f1_HYP
se_resnet_best.keras,0.6782088966594149,0.9066287615479152,0.844954128440367,0.6302325581395349,0.744140625,0.7272727272727273,0.4444444444444444
se_resnet_focal_best.keras,0.7049143581764111,0.9198959041427532,0.8570052961001444,0.7023208879919274,0.7465825446898002,0.7315436241610739,0.48711943793911006
se_resnet_AUG-1_Noise.keras,0.6562306772501418,0.8989329753003774,0.8472222222222222,0.6220735785953178,0.7270916334661355,0.7245508982035929,0.3602150537634409
se_resnet_AUG-2_Scaling.keras,0.6465341988305111,0.8993414722383324,0.8459770114942529,0.6164229471316085,0.6970033296337403,0.7157258064516129,0.3575418994413408
se_resnet_AUG-3_Shift.keras,0.6576409693544585,0.8989928794388314,0.8505854800936768,0.6467449306296692,0.6989247311827957,0.7112526539278131,0.3806970509383378
se_resnet_AUG-4_Mixup.keras,0.6579694103596065,0.89551552647318,0.8528846153846154,0.5836298932384342,0.7457962413452027,0.6745005875440658,0.4330357142857143
Ensemble (Base+Focal),0.6898844739079146,0.9176656443671567,0.8483720930232558,0.6486486486486487,0.7522567703109327,0.7368421052631579,0.463302752293578
