class,threshold,val_f1
NORM,0.45000000000000007,0.8580920740389179
MI,0.42000000000000004,0.7366638441998307
STTC,0.42000000000000004,0.7573858549686661
CD,0.44000000000000006,0.7650602409638554
HYP,0.39,0.5325443786982249
